"productName","explorerIcon"
"AI Platform","images/color_icons/Google_colored.svg"
"Anthos Management Experience","images/color_icons/anthos-32-color.svg"
"Apigee","images/api_icons/apigee_colored.svg"
"App Engine","images/api_icons/appengine_colored.svg"
"BigQuery (Product Group)","images/color_icons/bigquery-32-color.svg"
"Bigtable (Product Group)","images/api_icons/bigtable_colored.svg"
"Cloud AI","images/color_icons/Google_colored.svg"
"Cloud AI & Industry Solutions","images/color_icons/Google_colored.svg"
"Cloud Application Ecosystem (AppEco)","images/color_icons/Google_colored.svg"
"Cloud Billing (Product Group)","images/color_icons/Google_colored.svg"
"Cloud Core Compute","images/color_icons/Google_colored.svg"
"Cloud Data Analytics","images/color_icons/Google_colored.svg"
"Cloud Databases","images/color_icons/Google_colored.svg"
"Cloud Memorystore","images/color_icons/memorystore-32-color.svg"
"Cloud Networking","images/api_icons/networking_colored.svg"
"Cloud Operations Suite","images/color_icons/Google_colored.svg"
"Cloud SQL","images/color_icons/cloud-sql-32-color.svg"
"Cloud Security","images/color_icons/security-32-color.svg"
"Cloud Storage","images/color_icons/cloud-storage-32-color.svg"
"Cloud Systems","images/color_icons/Google_colored.svg"
"DevEx","images/color_icons/Google_colored.svg"
"Dialogflow (Product Group)","images/color_icons/dialogflow-32-color.svg"
"Events & Orchestration","images/color_icons/Google_colored.svg"
"GKE","images/color_icons/gke-32-color.svg"
"Google Cloud Platform (GCP)","images/color_icons/Google_colored.svg"
"Horizontals","images/color_icons/Google_colored.svg"
"Industry Solutions","images/color_icons/Google_colored.svg"
"Secure Source to Prod (SSTP)","images/color_icons/Google_colored.svg"
"Serverless","images/color_icons/Google_colored.svg"
"Service Infrastructure","images/color_icons/Google_colored.svg"
"Streams and Lakes","images/color_icons/Google_colored.svg"
"Vertex AI","images/color_icons/vertex-ai-32-color.svg"
"AI Platform Data Labeling Service API","images/color_icons/Google_colored.svg"
"Anthos Management Experience","images/color_icons/anthos-32-color.svg"
"API Gateway API","images/color_icons/api-gateway-32-color.svg"
"App Engine","images/api_icons/appengine_colored.svg"
"BigQuery (Product Group)","images/color_icons/bigquery-32-color.svg"
"BigQuery API","images/color_icons/bigquery-32-color.svg"
"BigQuery (Product Group)","images/color_icons/bigquery-32-color.svg"
"Bigtable (Product Group)","images/api_icons/bigtable_colored.svg"
"Cloud Natural Language API","images/color_icons/cloud-natural-language-api-32-color.svg"
"Cloud TPU API","images/color_icons/cloud-tpu-32-color.svg"
"Cloud Translation API","images/color_icons/cloud-translation-api-32-color.svg"
"Cloud Vision API","images/color_icons/cloud-vision-api-32-color.svg"
"Dialogflow API","images/color_icons/dialogflow-32-color.svg"
"Speech-to-Text API","images/color_icons/speech-to-text-32-color.svg"
"Text-to-Speech API","images/color_icons/text-to-speech-32-color.svg"
"Video Intelligence API","images/color_icons/video-intelligence-api-32-color.svg"
"IoT Core API","images/color_icons/iot-core-32-color.svg"
"Retail API","images/color_icons/Google_colored.svg"
"Essential Contacts API","images/color_icons/Google_colored.svg"
"Cloud Billing API","images/color_icons/cloud-billing-32-color.svg"
"Cloud Billing Budget API","images/color_icons/Google_colored.svg"
"Cloud OS Config API","images/color_icons/Google_colored.svg"
"Cloud OS Login API","images/color_icons/Google_colored.svg"
"Compute Engine API","images/color_icons/compute-engine-32-color.svg"
"Dataplex API","images/color_icons/dataplex-32-color.svg"
"Cloud Database Migration Service API","images/color_icons/Google_colored.svg"
"Cloud Spanner API","images/color_icons/cloud-spanner-32-color.svg"
"Datastore API","images/color_icons/datastore-32-color.svg"
"Datastream API","images/color_icons/datastream-32-color.svg"
"Firestore API","images/color_icons/firestore-32-color.svg"
"Cloud Memorystore","images/color_icons/memorystore-32-color.svg"
"Cloud DNS API","images/color_icons/cloud-dns-32-color.svg"
"Cloud Networking","images/api_icons/networking_colored.svg"
"Media CDN API","images/color_icons/media-cdn-32-color.svg"
"Cloud Networking","images/api_icons/networking_colored.svg"
"Network Security API","images/color_icons/network-security-32-color.svg"
"Service Directory API","images/color_icons/service-directory-32-color.svg"
"Cloud Debugger API","images/color_icons/debug-32-color.svg"
"Cloud Logging API","images/color_icons/cloud-logging-32-color.svg"
"Cloud Monitoring API","images/color_icons/cloud-monitoring-32-color.svg"
"Cloud Profiler API","images/color_icons/profiler-32-color.svg"
"Cloud Trace API","images/color_icons/trace-32-color.svg"
"Error Reporting API","images/color_icons/error-reporting-32-color.svg"
"Cloud SQL","images/color_icons/cloud-sql-32-color.svg"
"Cloud Security","images/color_icons/security-32-color.svg"
"Access Context Manager API","images/color_icons/access_context_mgr-32-color.svg"
"Cloud Security","images/color_icons/security-32-color.svg"
"BeyondCorp Enterprise API","images/color_icons/beyondcorp-enterprise-32-color.svg"
"Cloud Security","images/color_icons/security-32-color.svg"
"Certificate Authority Service API","images/color_icons/certificate-authority-service-cas-32-color.svg"
"Certificate Manager API","images/color_icons/certificate-manager-32-color.svg"
"Cloud Asset Inventory API","images/color_icons/cloud-asset-inventory-32-color.svg"
"Cloud Security","images/color_icons/security-32-color.svg"
"Identity-Aware Proxy API","images/color_icons/identity-aware-proxy-32-color.svg"
"Cloud Security","images/color_icons/security-32-color.svg"
"Security Command Center API","images/color_icons/security-command-center-32-color.svg"
"Web Risk API","images/color_icons/web-risk-32-color.svg"
"Web Security Scanner API","images/color_icons/web-security-scanner-32-color.svg"
"Cloud Storage API","images/color_icons/cloud-storage-32-color.svg"
"Filestore API","images/color_icons/filestore-32-color.svg"
"Cloud Storage","images/color_icons/cloud-storage-32-color.svg"
"Recommender API","images/color_icons/Google_colored.svg"
"Cloud Shell API","images/color_icons/cloud-shell-32-color.svg"
"Dialogflow (Product Group)","images/color_icons/dialogflow-32-color.svg"
"Cloud Scheduler API","images/color_icons/cloud-scheduler-32-color.svg"
"Cloud Tasks API","images/color_icons/cloud-tasks-32-color.svg"
"Eventarc API","images/color_icons/Google_colored.svg"
"Workflows API","images/color_icons/workflows-32-color.svg"
"Kubernetes Engine API","images/color_icons/gke-32-color.svg"
"Channel Services API","images/color_icons/Google_colored.svg"
"Bare Metal Solution API","images/color_icons/bare-metal-solution-32-color.svg"
"Cloud Life Sciences API","images/color_icons/cloud-life-sciences-32-color.svg"
"Cloud Talent Solution Job Search API","images/color_icons/Google_colored.svg"
"Document AI API","images/color_icons/document-ai-32-color.svg"
"Game Servers API","images/color_icons/cloud-game-servers-32-color.svg"
"Transcoder API","images/color_icons/Google_colored.svg"
"Artifact Registry API","images/color_icons/artifact-registry-32-color.svg"
"Cloud Build API","images/color_icons/cloud-build-32-color.svg"
"Container Analysis API","images/color_icons/Google_colored.svg"
"Google Cloud Deploy API","images/color_icons/Google_colored.svg"
"Cloud Functions API","images/color_icons/cloud-functions-32-color.svg"
